Name,Source,LinkedIn Profile,Status,LI Connection Sent,LI Connection Accepted,Loom Sent,Responded,Call Booked,Audit Call,Free or Paid,Need to Follow Up Date,Last Contact Date,Email,Company,Title,Notes,Meetings,"Action Items ",Projects
David Cuthbert,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Roger Moore,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Mark Lunde,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Drew Kellogg,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Beau Warren,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Tajuddin I. Sabree,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Scott O'Donnell,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Mike Spanos,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Paul S. Mulligan,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Andrew McCawley,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Michael Langley,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
David Buckley,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Warren Hahn,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Rick Lottie,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Jeff Lenar,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
James Carroll,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Michael Edward Smith,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Larry LeGree,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Chris Ognek,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
BJ Barone,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Michael Rubel,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Sam Clemmons,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Jeff Dolven,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Wilburn Thomas,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Alan Reyes,LI Loom Outreach,,Connection Accepted,No,Yes,No,No,No,No,,,,,,,,,,
Larry Cates,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
John F. Crowley,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Jim Bartlett,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
William Sheridan,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Mark James,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Josh Zloba,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Billy Yancey,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Todd Waldemar,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Sarah Brown,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Tracy Clark,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
David Blackman,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
John Shepard,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Scott Jensen,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Steve Andrade,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Pete Olsen,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Alexis Wriglesworth,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Mike Darcy,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Eric Saddler,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Jesse Moore,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Blane Molinari,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Fred Raley,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Rich Vaill,LI Loom Outreach,,Meeting Scheduled,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Mark Dancer,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Joe Hyndman,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Mark Gardner,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Erik Shay,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Brent Emery,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Nathan Kring,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Jeff Ruth,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Michael OBrien,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Kevin N.,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Charlie Hetzel,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Dwight W.,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Tristan Rizzi,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
S Bryan Aulds II,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Sarah Luehrs,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Michael Cianelli,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Richard King,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Evan Barnes,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Joseph Polanin,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
John Steckel,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Dan Clague,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
"Dale ""Kid"" Lumme",LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Tim G.,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Tom Zelibor,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Blair Suzuki,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Matt Willmann,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Mike Maher,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Hugh Reese,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Jim Petersen,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Christopher Lollini,LI Loom Outreach,,Connection Accepted,No,Yes,No,No,No,No,,,,,,,,,,
Erick Goss,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Jason Allor,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Mike Zeiders,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Allen On,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Rob Sarver,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Michael Pearlmutter,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Michael Wish,LI Loom Outreach,,Declined,Yes,Yes,No,Yes,No,No,,,,,,,,,,
Todd Huber,LI Loom Outreach,,Connection Accepted,No,Yes,No,No,No,No,,,,,,,,,,
William E Higgins Jr,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Bjorn Barja,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Patrick Elverum,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Daniel Lesniak,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Craig Malloy,LI Loom Outreach,,Connection Accepted,No,Yes,No,No,No,No,,,,,,,,,,
David Hunt,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Lauren Hatch,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Sean Naylor,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Matthew I.,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Jake Skala,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Keno Knieriem,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Rick Snow,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Abraham Beates,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Jesse Iwuji,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Mike McMonagle,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
James Novak,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Mitch Heaton,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Mandy Snell,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Kevin Edwards II,LI Loom Outreach,,Connection Accepted,No,Yes,No,No,No,No,,,,,,,,,,
Sean Finney,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Marco Nelson,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Dave Pollard,LI Loom Outreach,,Connection Accepted,No,Yes,No,No,No,No,,,,,,,,,,
Salam Kako,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Sean Blackman,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Mike Foster,LI Loom Outreach,,Meeting Scheduled,Yes,Yes,No,Yes,Yes,No,,"February 9, 2026",,,,,,,,
Eric Bronner,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
William Rodin,LI Loom Outreach,,Connection Accepted,No,Yes,No,No,No,No,,,,,,,,,,
Patrick Kappel,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Dave Morrison,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
David Silverman,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Jason Williscroft,LI Loom Outreach,,Connection Accepted,No,Yes,No,No,No,No,,,,,,,,,,
Christine Moorehead,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Justin Mears,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Patrick A.,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Daniel Brunk,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Hank Bond,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Dave Bringle,LI Loom Outreach,,Connection Accepted,No,Yes,No,No,No,No,,,,,,,,,,
Nick Breedlove,LI Loom Outreach,,Connection Accepted,No,Yes,No,No,No,No,,,,,,,,,,
Jennifer Adam,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Foster Edwards,LI Loom Outreach,,Connection Accepted,No,Yes,No,No,No,No,,,,,,,,,,
Richard Lawson,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Dennis Holden,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Jason M.,LI Loom Outreach,,Connection Accepted,No,Yes,No,No,No,No,,,,,,,,,,
Audrey Smith,LI Loom Outreach,,Connection Accepted,No,Yes,No,No,No,No,,,,,,,,,,
Nicholas Hanson,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Chris Manglicmot,LI Loom Outreach,,Proposal Sent,Yes,Yes,No,Yes,Yes,Yes,Paid,"February 16, 2026",,,,,,,,Prosp/Lead Gen (https://www.notion.so/Prosp-Lead-Gen-30271d52651c81e9b414e8646ec57b15?pvs=21)
Mike Jefferson,LI Loom Outreach/10X Vets,,Proposal Sent,Yes,Yes,No,Yes,Yes,Yes,Paid,"February 16, 2026",,,,,,,,Onboarding/Doc Processing (https://www.notion.so/Onboarding-Doc-Processing-30271d52651c8100a492da4b919c3438?pvs=21)
Brian Miller,LI Loom Outreach,,Responded,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Kevin Pickard,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Jamie Hess,Referral,,Meeting Scheduled,Yes,Yes,No,Yes,Yes,No,,"February 6, 2026",,,,,,,,
Michael Sachs,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
David Garza,LI Loom Outreach/10X Vets,,Responded,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Bill Breckinridge,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Magda Fuentes,Networking/Podcast,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Steph Mickelson,Networking/Podcast,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Kevin Hall,Networking/Podcast,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
John Calia,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Anthony Singleton,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Scott Kushino,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
James Brobyn,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Mike Carps,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Brian Keilers,LI Loom Outreach,,Responded,Yes,Yes,No,Yes,No,No,,,,,,,,,,
Rylan Tuohy,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Stephen Thorn,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Mike Anderson,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Alex Runyan,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Jim Freeze,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Duncan Miller,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Colin Day,LI Loom Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Brandon Jenkins,LI Loom Outreach,,Meeting Scheduled,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Andrew Beeler,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Chris Koelzer,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Gaylan Greenawalt,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Randy Staab,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Jason Schreuder,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Matt Arny,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Arabia Shanklin,LI Loom Outreach,,Responded,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Mark Treanor,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
John Campion,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Payton Alsup,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Chris Cantarella,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Ken Kurz,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Nicholas Karnaze,LI Loom Outreach,,Responded,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Markian Sich,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Mike Panos,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Ashley Driscoll,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
J.P. Holland,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Joseph C. Achenbach,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Bobby Greenawalt,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Rick Episcopo,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Currie Crookston,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
James Kerrick,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Adam Borcz,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Nick Tessmer,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Jared Smith,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Ed Alberts,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Kent Anderson,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Alex del Castillo,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Christopher Flis,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Patrick Growney,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Matt Cooney,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Kurt Russell,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Chuck Shehadi,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Darin Cline,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Jim Burmeister,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Brian De Neve,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Eric Mills,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
David Ornstein,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Matthew Ingold,LI Loom Outreach,,Responded,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Brooks McFeely,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Jim Delaney,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Antonio Romero,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Blake Ratcliff,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Gega Tsurtsumia,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
John Jolliffe,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Michael Klein,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Sean Reaver,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Barry Gittleman,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Roland Pena,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Eric Adler,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
David Martinez,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Eric Kapitulik,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Tom Schwab,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Marc Nicholson,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Nick Katsiotis,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Joshua Emison,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Keaton Lockhart,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Valerie Tucciarone,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Stephanie Pedrotty,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Togasii Peko,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Chris Kuran,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Julia (Zook) Baily,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
J Whorley,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Seven Bohannon,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Jarrett Brownfield,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Rodney Adams,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Buck French,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Jim Krueger,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Chad Summe,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Sean Ketterick,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Wesley Clark,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Jared Tate,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Kevin Byrne,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Terry Bresnick,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Bryan Price,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Travon Santerre,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Bobby Simon,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Eric Garcia,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Rachael Jackson,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Bill Scully,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
E. Chris Johnson,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Rich MacInnes,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Edward Lewis,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Matthew Hyde,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Rick Welch,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Nick Jones,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Tom Wolfe,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Ken Rathje,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Mo Barrett,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Tom Smith,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Wilson Meyer,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Andrew Blank,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Bryan Baird,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Patrick Stratton,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Chris Pintauro,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Timothy O'Connor,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Lyle McDonald,LI Loom Outreach,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Daniel McCawley,LI Loom Outreach,,Declined,Yes,Yes,No,Yes,No,No,,,,,,,,,,
Riley Smith,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Matthew Dooley,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Chip Kelleher,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Devrie Weliver,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Robert Wall,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Christopher Melling,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
S. Morgan Fielder,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Chelli Wolford,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
